"session","modelname","model","AIC","AICc","dAICc","AICcwt","estimate","lcl","ucl","D","Dlcl","Ducl","CV"
"1","ms0","D~1 lambda0~1 sigma~1",220.965,221.715,4.20400000000001,0.0597,40.6430525584749,21.6895619402005,76.159109429007,0.0189345690931632,0.0101046177219662,0.0354806007123257,32.8814755417238
"2","ms0","D~1 lambda0~1 sigma~1",220.965,221.715,4.20400000000001,0.0597,40.6430525584749,21.6895619402005,76.159109429007,0.0189345690931632,0.0101046177219662,0.0354806007123257,32.8814755417238
"1","ms1","D~std_tri lambda0~1 sigma~1",222.964,224.254,6.743,0.0168,40.6892551010868,21.9860612438196,75.302959557921,0.0189560936879044,0.0102427492400743,0.0350817421653487,32.1970732179182
"2","ms1","D~std_tri lambda0~1 sigma~1",222.964,224.254,6.743,0.0168,40.6892551010868,21.9860612438196,75.302959557921,0.0189560936879044,0.0102427492400743,0.0350817421653487,32.1970732179182
"1","ms2","D~std_elev lambda0~1 sigma~1",222.961,224.251,6.74000000000001,0.0168,40.7563191637205,21.9706391373194,75.6044255878536,0.018987337136604,0.0102355644711481,0.0352221875554873,32.3261094884359
"2","ms2","D~std_elev lambda0~1 sigma~1",222.961,224.251,6.74000000000001,0.0168,40.7563191637205,21.9706391373194,75.6044255878536,0.018987337136604,0.0102355644711481,0.0352221875554873,32.3261094884359
"1","ms3","D~1 lambda0~valley_stream sigma~1",216.532,217.822,0.311000000000007,0.4182,41.07353774414,21.960118577113,76.8226955102843,0.0191351212411554,0.0102306632085316,0.0357897486654015,32.7789851890556
"2","ms3","D~1 lambda0~valley_stream sigma~1",216.532,217.822,0.311000000000007,0.4182,41.07353774414,21.960118577113,76.8226955102843,0.0191351212411554,0.0102306632085316,0.0357897486654015,32.7789851890556
"1","ms4","D~std_tri lambda0~cliff + valley_stream sigma~1",214.614,217.511,0,0.4885,42.8025919856753,22.8490595083587,80.1810630333379,0.0199406438321338,0.0106447982801578,0.0373543270595564,32.8645031103582
"2","ms4","D~std_tri lambda0~cliff + valley_stream sigma~1",214.614,217.511,0,0.4885,42.8025919856753,22.8490595083587,80.1810630333379,0.0199406438321338,0.0106447982801578,0.0373543270595564,32.8645031103582
